Date,CurrentPrice,Implied1DayITM,Implied2DayITM,Implied3DayITM,Implied4DayITM,Implied5DayITM,Implied6DayITM,Implied7DayITM,Implied8DayITM,Implied9DayITM
10/2/2023,426.1400146,0.440885687,0.446183981,0.412460692,0.321685562,-0.004224146,0.707108434,0.745728125,0.752794231,0.824639047
10/3/2023,421.2000122,-0.189879516,-0.134175343,-0.364932244,-0.801737998,-1.294897529,-0.807943488,-1.425572347,-1.20930979,0.554314822
10/4/2023,425.1400146,1.05159513,1.319108921,1.853284527,2.369970628,2.576255256,2.677575901,2.23882653,3.350653373,3.495820822
10/5/2023,424.5360107,0.556481496,1.059771882,0.583230301,1.260467333,1.176792751,0.811566478,1.59672747,0.949614638,-0.058823375
10/6/2023,430.4599915,0.494715389,0.849366977,1.294929579,1.667953016,2.081195224,1.932271064,2.661531591,2.353661299,2.188481707
10/9/2023,431.7399902,0.329394772,0.747252991,0.777284983,1.348924848,1.642668484,1.242887229,2.646427505,1.606336842,1.218661199
10/10/2023,434.8399963,-0.481053666,-0.475354071,-0.513893876,-0.510725752,-0.547346454,-0.233440572,-0.701093857,-0.327125841,-0.647034597
10/11/2023,436.0599976,1.189535907,1.343468944,1.782789807,1.195499276,1.839969767,2.664133004,1.174898127,2.26005272,2.81029168
10/12/2023,433.8099976,-0.328892472,-0.489099377,-0.814340191,-0.877466289,-0.672779951,-0.611394489,-0.560701493,-1.781752766,-1.381418885
10/13/2023,430.4500122,-0.920868985,-1.129633782,-0.806645706,-0.92752729,-0.836982272,-0.854347013,-0.8389341,-0.16174097,-0.601406111
10/16/2023,436.3900146,0.65257584,0.419203763,0.993217039,0.663573521,1.209996543,1.143239178,1.039827565,1.595933483,1.666528713
10/17/2023,434.9949951,-0.526985801,-0.598995462,-0.359883759,-1.320467635,-1.4456593,-1.989944348,-0.830439562,-1.827393002,-2.645798703
10/18/2023,430.0950012,-0.654912302,-0.370458267,-1.22411371,-1.331880004,-1.57796788,-0.646558127,-1.238218522,-0.424947753,-2.000840948
10/19/2023,425.9200134,-0.722623252,-1.08605902,-1.664396262,-2.028149158,-2.042552042,-2.257601262,-1.064996216,-2.762011261,-1.041742682
10/20/2023,421.5899963,-1.051364048,-1.379733122,-1.333497146,-1.601757946,-1.897455308,-1.464886654,-1.995934661,-0.507723287,-2.471598282
10/23/2023,420.8900146,-0.700442521,-0.729998493,-0.684388234,-0.628181475,-0.790073428,-0.791079688,-1.096770133,0.764956856,-1.358128467
10/24/2023,424.0929871,1.066789002,1.352294526,1.384727666,0.806033725,1.653549206,0.910538627,1.620251104,1.23059659,2.932855403
10/25/2023,417.6099854,-0.745619481,-0.696446064,-1.2041983,-0.767133983,-1.93615773,-1.133819824,-1.546038288,-1.42114626,-0.761294294
